answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,WhisperX
6.4894607,6.090000000000001,,,6.6,6.697
2.359637,2.3200000000000003,,,2.3,2.343
9.249567,8.559999999999999,,,9.4,9.413
2.205881,2.18,,,2.2,2.191
7.96214,7.32,,,8.1,8.08
1.89,1.96,,,2.0,1.972
4.7258906,4.7250000000000005,,,4.9,4.908
2.364626,2.37,,3.8000000000000003,2.4,2.427
6.094393,5.855,,5.76,6.3,6.41
1.991022,2.0250000000000004,,,2.1,0.031
5.572336,5.3500000000000005,,,5.7,6.427
1.0955007,1.24,,,1.2,1.195
2.9537163,2.925,,,3.1,3.068
1.958804,2.0450000000000004,,,2.1,2.073
4.68052,4.425000000000001,,,4.8,4.807
2.453734,2.62,,,2.7,2.613
4.760642,4.45,,,4.9,5.026
1.135,1.125,,,1.1,1.128
3.3178655,3.31,,,3.5,3.389
1.988776,1.965,,,2.0,1.972
4.888845,4.845000000000001,,,5.0,5.127
2.389472,2.3750000000000004,,,2.4,2.36
5.27877,5.04,,,5.4,5.971
1.16,1.185,,,1.2,1.246
4.2629326,4.11,,,4.4,4.486
2.079083,2.12,,,2.2,2.157
6.215226,5.69,,,6.4,6.393
1.851001,1.93,,,2.0,1.955
5.545794,5.0600000000000005,,,5.7,5.903
1.735,1.725,,,1.7,1.735
3.5773773,3.5949999999999998,,,3.7,3.727
2.34966,2.3200000000000003,,,2.3,2.326
4.806382,4.5,,,5.0,4.874
2.074562,2.055,,,2.0,2.056
4.290875,4.0,,,4.4,4.402
1.3049999,1.355,,,1.3,1.297
3.6242837,3.605,,,3.8,3.845
1.945351,2.0300000000000002,,,2.0,2.022
5.098413,4.785,,,5.2,5.296
1.8284,1.9749999999999999,,,1.9,1.837
4.588686,4.45,,,4.7,4.823
2.27,2.29,,2.3000000000000003,2.3,2.275
7.3271149,7.315,,7.18,7.5,7.591
2.075057,2.1450000000000005,,2.02,2.2,2.174
8.515646,8.11,,7.4,8.6,8.857
1.879091,1.89,,3.3000000000000003,1.9,1.904
8.105381,7.87,,6.88,8.2,8.452
1.465,1.47,,1.54,1.4,1.465
4.155,4.140000000000001,,4.1,4.2,4.115
2.197596,2.2100000000000004,,,2.2,2.208
5.961451,5.58,,,5.8,5.802
2.375576,2.3750000000000004,,,2.3,2.343
5.737644,5.275,,,5.7,5.819
1.4400001,1.425,,1.24,1.4,1.415
4.6182001,4.62,,4.4,4.7,4.756
1.876671,1.86,,,1.9,1.853
6.014775,5.015000000000001,,,6.2,6.427
2.564749,2.7150000000000003,,,2.6,2.579
6.75541,6.340000000000001,,,6.8,7.085
1.635,1.645,,1.8,1.6,1.651
6.235,6.04,,6.3,6.4,6.342
2.335324,2.31,,,2.3,2.309
9.024766,8.715,,,9.2,9.329
2.590185,2.5900000000000003,,,2.6,2.562
8.829349,8.299999999999999,,,8.9,9.481
1.510442,1.545,,,1.6,1.55
5.5072015,5.005000000000001,,,5.7,5.701
1.990355,2.0050000000000003,,2.06,2.1,0.031
7.240396,6.86,,4.96,7.4,7.523
2.387125,2.4000000000000004,,,2.6,2.444
7.932928,6.605,,,8.1,8.468
1.245,1.325,,,1.3,1.297
5.9457349,5.74,,,6.0,6.005
2.370882,2.3850000000000002,,,2.5,2.41
9.458439,9.07,,,9.2,9.7
2.205558,2.3400000000000003,,,2.3,2.309
8.637031,8.075,,,8.8,9.397
1.415,1.41,,,1.5,1.364
2.9723123,2.8899999999999997,,,3.1,3.153
2.239909,2.2100000000000004,,,2.2,2.208
4.354355,4.380000000000001,,,4.6,5.971
2.074294,2.0450000000000004,,,2.1,2.056
4.035828,3.8699999999999997,,,4.2,4.047
1.24,1.25,,,1.2,1.212
4.3822803,4.345000000000001,,,4.5,4.604
2.139093,2.1250000000000004,,,2.1,2.123
6.487026,5.96,,,6.7,6.578
2.241471,2.2300000000000004,,,2.2,2.208
6.340705,5.945,,,6.5,6.781
1.352237,1.4,,1.4000000000000001,1.4,1.398
4.26,4.265000000000001,,3.96,4.4,4.334
2.180045,2.22,,,2.3,2.258
6.091156,5.7,,,6.2,6.275
2.152225,2.4800000000000004,,,2.3,2.208
5.988853,5.6850000000000005,,,6.2,6.241
2.2249999,2.2750000000000004,,2.84,2.3,0.031
6.5349793,6.285,,6.44,6.6,6.511
2.256326,2.2800000000000002,,2.3000000000000003,2.3,2.326
7.899425,7.595000000000001,,7.5,7.9,9.16
2.163562,2.49,,,2.3,2.275
7.92002,7.46,,,7.9,8.114
1.9914409,1.9800000000000002,,,2.0,2.005
4.0919601,4.13,,,4.2,4.148
2.419501,2.3750000000000004,,,2.4,2.41
5.221182,5.19,,,5.2,5.228
2.243487,2.2750000000000004,,,2.2,2.225
5.073515,4.345000000000001,,,5.1,4.975
1.585,1.64,,,1.6,1.617
2.9229079,2.7449999999999997,,,2.9,2.984
2.209977,2.225,,,2.3,2.275
4.046177,4.03,,,4.0,3.895
2.241613,2.535,,,2.3,2.292
3.954626,3.5949999999999998,,,4.0,3.878
1.54,1.575,,1.78,1.5,1.533
5.3853559,5.345000000000001,,5.0200000000000005,5.6,5.65
1.717873,1.695,,,1.7,1.668
6.652934,6.375,,,6.8,6.68
1.809131,1.825,,,1.8,1.803
6.670986,5.275,,,6.8,7.473
2.045,2.1,,,2.3,2.107
4.112499,4.055000000000001,,,4.1,4.216
1.953663,1.985,,,2.0,0.031
4.715056,4.45,,,4.6,4.823
1.50479,1.5050000000000001,,,1.5,1.533
4.211844,3.7399999999999998,,,4.2,4.823
1.215,1.22,,,1.2,1.212
2.8524095,2.7849999999999997,,,3.0,3.119
1.921546,1.905,,,1.9,1.904
4.045805,4.04,,,4.2,4.3
1.879557,1.87,,,1.9,1.837
3.848994,3.6799999999999997,,,4.0,3.895
1.6950001,1.7,,,1.7,1.685
5.7062069,5.665,,,5.8,5.752
1.775964,1.785,,4.86,1.8,1.752
7.906154,7.640000000000001,,7.44,7.9,7.945
1.864662,1.845,,4.48,1.9,1.82
7.152726,6.635000000000001,,6.84,7.1,7.27
1.34,1.375,,,1.5,1.482
3.4094579,3.4099999999999997,,,3.5,3.507
1.932501,2.265,,,2.3,2.09
4.827088,4.57,,,4.8,4.908
1.487984,1.695,,,1.7,1.685
4.13337,3.3899999999999997,,,4.1,4.132
1.3214286,1.325,,1.18,1.3,1.313
6.4827994,6.0200000000000005,,5.96,6.7,6.629
2.304762,2.2800000000000002,,,2.3,2.292
10.761067,10.174999999999999,,,11.0,11.017
1.770468,1.77,,,1.8,1.752
9.040035,8.299999999999999,,,9.1,9.346
2.2449999,2.265,,,2.3,2.242
6.1081032,6.115,,,6.3,6.275
1.626221,1.67,,,1.7,1.685
7.032371,6.57,,,7.1,7.169
1.319849,1.345,,,1.4,1.229
6.496286,6.28,,,6.5,6.612
1.24,1.245,,1.34,1.2,1.229
3.7516804,3.775,,3.88,3.9,3.912
2.122007,2.1300000000000003,,,2.1,2.123
5.524705,5.23,,,5.7,5.684
1.24672,1.26,,,1.2,1.229
4.556917,4.235,,,4.7,5.465
1.4450001,1.54,,,1.4,1.381
3.2837265,3.295,,,3.5,3.473
1.82585,1.8,,,1.8,1.786
4.274109,3.6999999999999997,,,4.5,4.317
2.056409,2.225,,,2.0,2.022
4.41818,3.8649999999999998,,,4.6,4.621
2.1300001,2.1450000000000005,,2.2800000000000002,2.1,2.123
5.4911035,5.515000000000001,,5.38,5.7,5.768
2.172706,2.1750000000000003,,2.3000000000000003,2.2,2.174
6.488859,6.25,,6.22,6.7,6.646
1.916253,1.925,,1.72,1.9,1.904
6.138782,6.165,,6.9,6.3,6.933
0.855,0.92,,,0.9,0.858
2.3020225,2.3049999999999997,,,2.5,2.495
2.599327,2.575,,,2.6,2.596
4.83947,4.69,,,5.0,4.925
1.836073,1.845,,,1.9,1.853
3.76383,3.78,,,4.0,4.115
1.4421641,1.435,,,1.4,1.432
5.4103356,5.405,,,5.6,5.633
2.058163,2.0250000000000004,,,2.0,2.022
8.858854,8.84,,,8.9,9.16
1.83542,2.6750000000000003,,,1.8,1.82
6.867174,6.760000000000001,,,7.0,7.473
0.95,0.97,,,1.0,1.027
4.435,4.425000000000001,,,4.6,6.815
1.957635,1.955,,,2.1,1.988
7.269218,7.215000000000001,,,7.4,7.692
1.202268,1.495,,,1.4,1.195
5.98396,5.44,,,6.1,6.477
1.46,1.455,,,1.4,1.432
3.9906533,4.005,,,4.2,4.334
2.124835,2.1300000000000003,,,2.1,2.14
6.081029,5.340000000000001,,,6.2,6.393
1.743916,1.935,,,1.7,1.718
5.336461,4.305000000000001,,,5.4,5.836
2.035,2.0850000000000004,,,2.1,2.056
4.6037674,4.595000000000001,,,4.8,6.848
2.293419,2.33,,,2.3,2.292
5.706989,5.33,,,5.8,5.836
1.582303,1.795,,,1.6,1.567
4.891017,4.565,,,5.0,4.975
1.5312585,1.53,,1.36,1.5,1.533
6.2005283,6.045000000000001,,5.96,6.4,8.468
2.160216,2.1350000000000002,,1.9000000000000001,2.1,2.14
9.6275,9.375,,5.88,9.8,9.802
2.616793,2.64,,3.42,2.6,2.596
9.136622,8.86,,7.66,9.3,9.802
1.615,1.715,,,1.7,1.702
4.0383924,3.94,,,4.1,5.971
1.896344,1.9,,,2.0,1.988
5.093062,4.67,,,5.0,4.975
1.875958,1.985,,1.86,2.0,1.988
4.968121,4.050000000000001,,4.32,4.9,5.228
1.58,1.565,,,1.6,1.567
3.864922,3.835,,,3.9,3.878
2.21782,2.1950000000000003,,2.0,2.2,2.191
5.359834,5.325,,4.94,5.3,5.363
2.348021,2.35,,,2.3,2.292
5.34619,4.875,,,5.4,6.089
1.8304603,1.85,,,1.9,0.031
5.604345,5.595000000000001,,,5.8,5.785
2.095238,2.075,,,2.2,2.123
7.221629,6.7,,,7.3,7.355
1.723118,1.73,,,1.9,1.752
6.534091,5.840000000000001,,,6.6,7.085
2.01,2.0250000000000004,,2.86,2.0,2.022
8.255,8.25,,8.22,8.4,8.384
2.496083,2.5000000000000004,,,2.5,2.495
11.638881,11.299999999999999,,,11.7,11.827
1.756519,1.775,,3.3000000000000003,1.8,1.769
9.518179,8.87,,10.24,9.6,9.987
1.345,1.345,,1.24,1.3,1.347
6.941039,6.6000000000000005,,6.66,7.1,7.186
2.178571,2.165,,2.02,2.2,2.157
10.842443,10.84,,10.56,11.0,11.135
2.148196,2.265,,,2.1,2.123
9.528345,7.800000000000001,,,9.7,10.173
2.215,2.2600000000000002,,,2.3,2.258
4.5948857,4.6000000000000005,,,4.8,6.477
2.323878,2.3150000000000004,,2.1,2.3,2.309
5.387579,5.405,,4.62,5.5,5.684
2.226796,2.22,,,2.2,2.208
5.357775,5.165,,,5.4,5.971
1.35,1.365,,1.34,1.3,1.364
4.286247,4.275,,4.24,4.5,4.486
1.472001,1.465,,,1.5,1.465
5.707594,5.71,,,6.0,6.19
1.562273,1.605,,,1.6,1.6
5.844895,5.405,,,6.0,6.292
1.125,1.13,,0.96,1.1,1.077
3.2076771,3.17,,3.16,3.4,3.22
1.807988,1.8,,,1.8,1.769
4.644444,4.635000000000001,,,4.8,4.756
1.273098,1.715,,,1.2,1.263
4.016051,3.56,,,4.1,4.604
1.7,1.77,,,1.8,1.752
4.5682406,4.555000000000001,,,4.8,4.688
1.805547,1.87,,1.74,1.9,1.87
5.763318,5.655,,4.88,6.0,5.887
1.982777,2.04,,,2.1,2.073
5.738157,5.28,,,5.9,6.477
2.21,2.2100000000000004,,,2.2,0.031
5.243804,5.2700000000000005,,,5.4,7.118
1.808078,1.78,,,1.8,0.031
5.667979,5.375,,,5.9,5.903
1.842236,1.835,,,1.8,1.786
5.577592,5.300000000000001,,,5.7,6.258
1.95,2.0100000000000002,,1.94,2.0,1.988
7.2435715,7.255000000000001,,7.0600000000000005,7.4,7.473
2.15017,2.165,,,2.2,0.537
10.213931,9.92,,,10.3,10.628
1.615138,1.625,,,1.7,1.668
8.441314,6.180000000000001,,,8.6,9.042
1.995,2.0050000000000003,,2.04,2.1,2.039
4.1471931,4.1450000000000005,,4.1,4.4,4.25
1.611474,1.605,,,1.8,1.668
5.366776,5.375,,,5.5,5.448
1.243224,1.275,,1.5,1.4,1.263
4.104411,4.025,,4.7,4.2,4.722
1.715,1.725,,,1.8,1.786
4.7239477,4.67,,,5.0,6.882
1.943768,2.015,,,2.1,2.073
6.022723,5.505000000000001,,,6.2,6.292
1.813049,1.895,,,1.9,1.887
5.561168,4.95,,,5.7,5.785
1.4925,1.53,,,1.5,1.499
3.6559247,3.645,,,3.8,3.727
2.119902,2.1350000000000002,,,2.1,2.123
5.22505,4.99,,,5.5,5.313
1.854144,2.075,,,1.9,1.87
4.664653,4.445,,,4.7,4.857
1.6849999,1.675,,2.3000000000000003,1.7,1.685
8.7598421,8.639999999999999,,8.700000000000001,8.9,8.992
2.66749,2.6350000000000002,,,2.6,2.63
13.77822,12.35,,,14.0,13.936
1.97686,1.965,,,2.0,1.853
11.470921,11.225,,,11.6,11.742
1.645,1.705,,1.82,1.8,1.718
5.8327709,5.83,,5.5600000000000005,6.0,6.072
2.269945,2.31,,,2.3,2.309
9.246664,8.92,,,9.4,9.363
2.679822,2.6900000000000004,,,2.7,2.697
8.571743,7.8500000000000005,,,8.7,8.738
2.0650001,2.06,,,2.1,2.073
5.8236117,5.66,,,6.0,6.072
1.95266,1.935,,,2.0,1.921
7.706373,7.665,,,7.8,8.148
1.79093,1.93,,1.92,1.8,1.752
6.919051,6.165,,7.62,7.0,7.658
0.99,1.04,,0.0,1.0,1.027
3.5299158,3.55,,3.4,3.7,5.178
2.411854,2.4000000000000004,,,2.4,2.377
5.882634,5.335,,,5.6,6.005
1.267354,1.47,,,1.3,1.28
4.702009,4.155,,,4.8,4.908
1.335,1.345,,,1.3,1.313
3.9556817,3.96,,,4.1,5.785
2.133191,2.1100000000000003,,,2.1,2.107
5.875351,5.3500000000000005,,,6.0,7.304
1.600369,1.58,,,1.6,1.55
5.052057,4.665,,,5.2,5.667
2.0250001,2.0100000000000002,,,2.0,2.005
3.5479567,3.55,,,3.7,3.608
2.220991,2.2,,,2.2,2.191
4.354495,4.355,,,4.5,4.452
1.989849,1.965,,,2.0,1.955
4.043051,4.055000000000001,,,4.2,4.098
2.915,2.9000000000000004,,2.8000000000000003,2.9,2.883
6.7289887,6.745,,6.46,6.9,6.916
2.017653,1.9949999999999999,,,2.0,1.988
8.127639,7.78,,,8.3,8.738
2.00806,2.0100000000000002,,,2.0,1.972
6.921771,6.28,,,7.1,7.473
2.1657441,2.18,,,2.1,2.157
5.0822683,4.94,,,5.2,5.228
2.239909,2.225,,,2.2,2.208
6.591552,5.995,,,6.8,6.747
2.098365,2.095,,,2.1,2.005
6.091988,5.825,,,6.2,6.73
1.93,2.0050000000000003,,2.2800000000000002,2.0,0.031
6.6176901,6.565,,6.46,6.8,6.798
2.331783,2.305,,,2.3,2.292
9.778916,9.514999999999999,,,9.9,9.97
2.505364,2.54,,,2.5,2.528
8.982635,8.49,,,9.1,9.312
2.125,2.1300000000000003,,,2.1,2.09
4.2881899,4.0200000000000005,,,4.3,4.283
2.115193,2.1550000000000002,,,2.1,2.107
5.357823,4.58,,,5.2,5.279
2.694446,2.7,,,2.7,2.68
5.40596,4.6450000000000005,,,5.3,5.448
1.26,1.3,,,1.3,1.28
2.9950717,2.98,,,3.2,3.288
2.05029,2.06,,,2.0,2.056
4.534694,4.515000000000001,,,4.7,4.79
2.053029,2.06,,,2.1,2.073
4.347188,4.255,,,4.5,4.368
1.825,1.855,,,1.9,1.82
3.7958113,3.7449999999999997,,,4.0,4.047
1.784996,1.85,,,1.9,1.837
4.517313,4.495,,,4.7,4.756
2.14414,2.18,,,2.2,2.157
4.822485,4.4,,,4.9,5.009
1.35,1.43,,,1.5,1.415
4.6376288,4.61,,,4.7,6.376
1.994154,2.0300000000000002,,,2.1,2.039
6.375687,6.285,,,6.4,7.827
1.905356,1.95,,,2.0,2.005
6.021424,4.99,,,6.0,6.629
1.8150001,1.8800000000000001,,,1.9,0.031
4.3289901,4.365,,,4.5,4.587
2.372647,2.365,,,2.4,0.031
5.869467,5.305000000000001,,,6.0,6.207
1.766548,1.76,,,1.8,1.803
5.017023,3.85,,,5.2,5.498
1.8371216,1.825,,,1.8,1.837
5.6695699,5.640000000000001,,,5.9,5.92
2.276219,2.2500000000000004,,,2.2,2.242
8.051701,7.455,,,8.2,8.367
2.032866,2.02,,,2.0,2.005
7.212491,6.615,,,7.3,7.861
1.6012018,1.67,,,1.7,1.651
4.1988179,4.220000000000001,,,4.4,4.385
2.574318,2.5850000000000004,,,2.7,2.596
6.252937,5.91,,,6.5,6.41
2.132763,2.37,,,2.2,2.157
5.580926,4.1000000000000005,,,5.7,6.005
1.9675,2.0450000000000004,,,2.0,2.005
4.2890225,4.295,,,4.5,4.452
2.69147,2.6700000000000004,,,2.7,2.647
5.922028,5.385000000000001,,,6.1,6.089
1.540575,1.56,,,1.6,1.55
4.571958,4.2700000000000005,,,4.7,4.857
1.865,1.925,,,2.0,1.938
3.9418041,3.8899999999999997,,,4.0,3.963
2.20896,2.265,,,2.2,2.225
4.98451,4.6450000000000005,,,4.9,5.195
1.840992,2.075,,,1.9,1.887
4.50549,4.045,,,4.5,4.385
1.9349999,1.93,,,1.9,1.921
4.3270473,4.32,,,4.5,4.452
2.729781,2.7100000000000004,,,2.7,2.663
6.162126,6.08,,,6.3,7.54
1.683358,1.91,,,1.7,1.634
4.943764,4.845000000000001,,,5.1,5.38
1.86,1.925,,,1.9,1.87
3.7611172,3.75,,,3.9,3.997
2.295333,2.305,,,2.3,2.292
5.257172,5.23,,,5.4,5.431
1.816345,1.8800000000000001,,,1.9,1.87
4.328188,2.96,,,4.5,4.469
1.5825,1.585,,,1.6,1.617
5.1469381,5.125,,,5.3,5.38
2.490402,2.49,,,2.6,2.512
7.996825,7.375,,,8.2,8.35
1.499336,1.56,,,1.6,1.533
6.044909,5.2700000000000005,,,6.2,6.477
1.3741636,1.365,,1.22,1.4,1.381
7.077595,6.795000000000001,,6.84,7.2,7.338
1.716243,1.685,,,1.7,1.702
10.662595,10.639999999999999,,,10.8,10.831
1.801042,2.615,,,1.8,1.769
9.368707,8.764999999999999,,,9.5,9.97
1.795,1.81,,,1.9,1.82
4.1796668,4.205,,,4.4,4.385
2.107494,2.1350000000000002,,,2.2,2.14
5.456389,5.140000000000001,,,5.7,5.735
1.968665,1.9949999999999999,,,2.0,0.031
5.173243,4.890000000000001,,,5.3,5.414
1.765,1.76,,1.54,1.8,1.752
5.2315917,5.255000000000001,,4.9,5.5,5.515
2.12517,2.1250000000000004,,,2.1,2.107
6.775049,6.325,,,6.9,6.815
1.751006,1.795,,,1.8,1.786
6.339106,6.285,,,6.4,6.308
1.8138072,1.825,,,1.8,1.82
3.8621464,3.84,,,3.9,3.828
1.675048,1.665,,,1.7,1.668
4.365919,4.340000000000001,,,4.3,4.435
1.971895,1.97,,,2.0,1.938
4.671023,4.25,,,4.6,4.672
1.15,1.22,,,1.2,1.212
4.5463139,4.5,,,4.6,4.57
1.817522,1.85,,,1.9,1.803
6.978672,6.455,,,6.9,6.983
1.871742,2.0300000000000002,,,1.9,1.938
6.457063,6.095000000000001,,,6.4,6.528
1.2875,1.355,,,1.3,1.297
2.9578796,2.965,,,3.1,3.068
2.055529,2.0500000000000003,,,2.1,2.056
4.339903,3.94,,,4.4,4.621
1.395284,1.405,,,1.4,1.415
3.602513,3.2199999999999998,,,3.7,3.457
2.0899999,2.0850000000000004,,2.04,2.1,2.056
5.4142214,5.390000000000001,,5.0600000000000005,5.5,5.65
2.183387,2.1700000000000004,,3.96,2.1,2.123
7.395647,6.720000000000001,,6.8,7.6,7.692
2.207611,2.18,,2.18,2.2,2.157
6.445787,5.175000000000001,,7.0600000000000005,6.6,6.983
1.375,1.425,,,1.4,1.448
3.2870571,3.21,,,3.5,3.372
1.72079,1.735,,,1.8,1.735
4.278195,4.075,,,4.4,4.418
2.095413,2.1250000000000004,,,2.1,2.157
4.430587,3.85,,,4.5,4.57
2.4300001,2.415,,,2.4,0.031
